fr_ID,fr_JobFilled,fr_Tools,fr_PaymentMethod,fr_Platform
1,"QA Testing","Azure","PayPal","99designs"
2,"Full Stack Development","WordPress","Stripe","Upwork"
3,"SEO Specialist","MySQL","Stripe","Fiverr"
4,"UI/UX Design","Adobe XD","Direct Bank Transfer","99designs"
5,"Frontend Development","Jira","Stripe","Fiverr"
6,"Web Development","React","Zelle","Freelancer.com"
7,"Network Administration","MongoDB","Stripe","Upwork"
8,"Game Development","JavaScript","Payoneer","Toptal"
9,"Full Stack Development","Docker","Wise","Fiverr"
10,"WordPress Development","Visual Studio Code","Cryptocurrency","Catalant"
11,"IT Support","Figma","Zelle","Fiverr"
12,"Cybersecurity","MongoDB","Wise","Guru"
13,"AI Development","Power BI","Zelle","Toptal"
14,"Database Administration","Azure","Wire Transfer","PeoplePerHour"
15,"Software Development","Figma","Credit Card","Upwork"
16,"Cybersecurity","React","Wise","PeoplePerHour"
17,"Digital Marketing","Jira","Wise","Stack Overflow Jobs"
18,"Web Development","React","Cryptocurrency","Guru"
19,"Machine Learning","Azure","Direct Bank Transfer","PeoplePerHour"
20,"Cloud Computing","Jupyter","Wise","Remote.co"
21,"Data Science","Figma","Credit Card","PeoplePerHour"
22,"IT Support","Node.js","Zelle","Gun.io"
23,"Frontend Development","Photoshop","Wise","FlexJobs"
24,"Technical Writing","Tableau","Zelle","Toptal"
25,"Data Science","Django","Credit Card","SimplyHired"
26,"Cloud Computing","Visual Studio Code","Stripe","FlexJobs"
27,"Backend Development","Slack","PayPal","Freelancer.com"
28,"Mobile App Development","Adobe XD","Payoneer","Toptal"
29,"Cybersecurity","Git","Credit Card","Stack Overflow Jobs"
30,"Software Development","PostgreSQL","Stripe","Upwork"
31,"Cloud Computing","Slack","Zelle","Upwork"
32,"Mobile App Development","Tableau","Wire Transfer","Freelancer.com"
33,"UI/UX Design","GitHub","Wire Transfer","Freelancer.com"
34,"E-commerce Development","TensorFlow","PayPal","Upwork"
35,"UI/UX Design","MySQL","Cryptocurrency","FlexJobs"
36,"Database Administration","Adobe XD","Payoneer","LinkedIn"
37,"DevOps Engineering","Docker","Payoneer","Toptal"
38,"Frontend Development","Adobe XD","Wire Transfer","Fiverr"
39,"Backend Development","Azure","Venmo","Upwork"
40,"Network Administration","React","Cryptocurrency","Fiverr"
41,"E-commerce Development","Tableau","Wire Transfer","Guru"
42,"WordPress Development","Node.js","Direct Bank Transfer","Freelancer.com"
43,"IT Support","Unity","Direct Bank Transfer","Indeed"
44,"Data Science","Jira","Wise","Remote.co"
45,"Database Administration","Python","Payoneer","Upwork"
46,"Frontend Development","React","Wise","99designs"
47,"SEO Specialist","Kubernetes","Cryptocurrency","Upwork"
48,"Technical Writing","Python","Zelle","Fiverr"
49,"Cloud Computing","React","Credit Card","PeoplePerHour"
50,"Game Development","JavaScript","Stripe","Working Nomads"
51,"Web Development","React","Wire Transfer","Stack Overflow Jobs"
52,"SEO Specialist","WordPress","Venmo","Toptal"
53,"Network Administration","Power BI","PayPal","Guru"
54,"Database Administration","Trello","Cryptocurrency","PeoplePerHour"
55,"Graphic Design","Figma","Cryptocurrency","SimplyHired"
56,"Machine Learning","Unity","Venmo","99designs"
57,"Database Administration","TensorFlow","Payoneer","Upwork"
58,"DevOps Engineering","GitHub","Credit Card","Guru"
59,"Web Development","Jira","Stripe","PeoplePerHour"
60,"Web Development","MongoDB","Cryptocurrency","Freelancer.com"
61,"Cloud Computing","Tableau","Direct Bank Transfer","Remote.co"
62,"IT Support","MongoDB","Venmo","Toptal"
63,"Frontend Development","JavaScript","Credit Card","Toptal"
64,"Technical Writing","Unity","Cryptocurrency","AngelList"
65,"UI/UX Design","Illustrator","Cryptocurrency","Fiverr"
66,"Technical Writing","Adobe XD","Direct Bank Transfer","SimplyHired"
67,"Frontend Development","Visual Studio Code","PayPal","We Work Remotely"
68,"Data Science","Shopify","Payoneer","We Work Remotely"
69,"SEO Specialist","Unity","Wire Transfer","Upwork"
70,"Software Development","GitHub","Zelle","Freelancer.com"
71,"Blockchain Development","Docker","Venmo","99designs"
72,"Network Administration","Node.js","Direct Bank Transfer","Freelancer.com"
73,"Web Development","Kubernetes","Wise","Toptal"
74,"QA Testing","TensorFlow","Venmo","Fiverr"
75,"QA Testing","Python","Stripe","Indeed"
76,"QA Testing","Jupyter","Credit Card","Upwork"
77,"E-commerce Development","JavaScript","Credit Card","Workana"
78,"Software Development","MongoDB","Direct Bank Transfer","SimplyHired"
79,"Web Development","React","Wise","Indeed"
80,"WordPress Development","Jira","Zelle","Freelancer.com"
81,"IT Support","MySQL","Venmo","Upwork"
82,"Data Analysis","Slack","Direct Bank Transfer","PeoplePerHour"
83,"Technical Writing","WordPress","PayPal","Indeed"
84,"Software Development","PyTorch","Stripe","Fiverr"
85,"Machine Learning","Jupyter","Cryptocurrency","Upwork"
86,"Full Stack Development","Visual Studio Code","Stripe","Toptal"
87,"Cybersecurity","Django","Direct Bank Transfer","Freelancer.com"
88,"Web Development","Figma","Cryptocurrency","Upwork"
89,"Cybersecurity","Figma","Cryptocurrency","LinkedIn"
90,"Digital Marketing","Kubernetes","Wire Transfer","FlexJobs"
91,"Game Development","PyTorch","Zelle","Remote.co"
92,"Web Development","Jupyter","Payoneer","Toptal"
93,"AI Development","PostgreSQL","Direct Bank Transfer","Upwork"
94,"Data Science","Visual Studio Code","Wire Transfer","Upwork"
95,"IT Support","TensorFlow","Credit Card","Freelancer.com"
96,"Database Administration","Trello","Zelle","99designs"
97,"Full Stack Development","PostgreSQL","Direct Bank Transfer","Upwork"
98,"Game Development","PostgreSQL","Payoneer","Fiverr"
99,"Database Administration","GitHub","Direct Bank Transfer","We Work Remotely"
100,"IT Support","Photoshop","Venmo","Toptal"
101,"AI Development","GitHub","Direct Bank Transfer","Freelancer.com"
102,"Backend Development","TensorFlow","Wire Transfer","Upwork"
103,"UI/UX Design","Jupyter","Cryptocurrency","Freelancer.com"
104,"DevOps Engineering","Python","Cryptocurrency","PeoplePerHour"
105,"AI Development","AWS","Stripe","Upwork"
106,"DevOps Engineering","Azure","Venmo","Toptal"
107,"QA Testing","WordPress","Wise","Upwork"
108,"Digital Marketing","Kubernetes","Stripe","We Work Remotely"
109,"Full Stack Development","MongoDB","Venmo","Toptal"
110,"IT Support","WordPress","Venmo","Behance"
111,"Machine Learning","MongoDB","Zelle","Toptal"
112,"QA Testing","Power BI","Wise","Freelancer.com"
113,"Data Science","PostgreSQL","Cryptocurrency","SimplyHired"
114,"SEO Specialist","Visual Studio Code","Cryptocurrency","PeoplePerHour"
115,"Blockchain Development","Node.js","Credit Card","Indeed"
116,"Data Science","Trello","Wise","SimplyHired"
117,"Machine Learning","MySQL","Wire Transfer","SimplyHired"
118,"IT Support","AWS","Payoneer","Upwork"
119,"Cybersecurity","Unity","Credit Card","Fiverr"
120,"Digital Marketing","Jira","Cryptocurrency","Fiverr"
121,"Digital Marketing","Docker","Stripe","Behance"
122,"Graphic Design","Photoshop","Cryptocurrency","Fiverr"
123,"Technical Writing","MongoDB","Cryptocurrency","Upwork"
124,"SEO Specialist","PyTorch","Wise","Upwork"
125,"AI Development","Shopify","Venmo","Upwork"
126,"UI/UX Design","GitHub","Payoneer","Toptal"
127,"Software Development","MySQL","Zelle","Upwork"
128,"Cloud Computing","Azure","Credit Card","Freelancer.com"
129,"Data Analysis","GitHub","Credit Card","PeoplePerHour"
130,"Cloud Computing","MongoDB","Venmo","PeoplePerHour"
131,"Cybersecurity","Photoshop","Payoneer","Upwork"
132,"SEO Specialist","Azure","Payoneer","Guru"
133,"Graphic Design","Illustrator","Payoneer","Toptal"
134,"Digital Marketing","Visual Studio Code","Payoneer","Fiverr"
135,"Blockchain Development","Tableau","Stripe","Upwork"
136,"Mobile App Development","Kubernetes","Cryptocurrency","Fiverr"
137,"Software Development","Adobe XD","Wire Transfer","Behance"
138,"Game Development","WordPress","Cryptocurrency","Freelancer.com"
139,"Cloud Computing","Docker","Zelle","Toptal"
140,"IT Support","MongoDB","Cryptocurrency","Remote.co"
141,"IT Support","GitHub","Direct Bank Transfer","Upwork"
142,"Mobile App Development","Trello","PayPal","99designs"
143,"IT Support","Figma","Wire Transfer","LinkedIn"
144,"Mobile App Development","Python","Credit Card","Upwork"
145,"Game Development","Django","Wire Transfer","PeoplePerHour"
146,"UI/UX Design","TensorFlow","Credit Card","AngelList"
147,"Machine Learning","Jupyter","Wire Transfer","Fiverr"
148,"Cloud Computing","Tableau","Wise","Fiverr"
149,"Machine Learning","PyTorch","Payoneer","Fiverr"
150,"Cloud Computing","Kubernetes","Credit Card","AngelList"
151,"Digital Marketing","Photoshop","Credit Card","Upwork"
152,"UI/UX Design","PyTorch","Wire Transfer","Fiverr"
153,"QA Testing","Django","PayPal","Upwork"
154,"QA Testing","PostgreSQL","Venmo","99designs"
155,"IT Support","Power BI","PayPal","Toptal"
156,"Digital Marketing","Tableau","Wise","Freelancer.com"
157,"Database Administration","Azure","Payoneer","Fiverr"
158,"Cloud Computing","WordPress","Payoneer","Remote.co"
159,"Cybersecurity","AWS","Credit Card","Guru"
160,"Game Development","Python","Stripe","Freelancer.com"
161,"Blockchain Development","Tableau","Wire Transfer","GitHub Jobs"
