gp_ID,gp_Name,gp_Score
1,AI-based Exam Evaluator,72.96
2,Human Resource Management,95.34
3,Automated Exam Management,96.34
4,Digital Quiz and Result Analyzer,90.23
5,E-Learning and Exam Platform,92.23
6,Digital Quiz and Result Analyzer,99.7
7,E-Learning and Exam Platform,90.72
8,Healthcare Data Warehouse,71.82
9,Exam Scheduling and Proctoring System,95.84
10,Real Estate Analytics Dashboard,96.29
11,Digital Quiz and Result Analyzer,52.25
12,Online Examination System,94.71
13,Hospital Management System,76.76
14,Exam Result Prediction System,91.84
15,University Admission Portal,86.73
16,Sales Forecasting Tool,81.23
17,Automated Exam Management,51.58
18,Inventory Management System,61.84
19,Healthcare Data Warehouse,77.97
20,Exam Result Prediction System,91.58
21,Student Assessment Portal,54.65
22,Exam Result Prediction System,54.75
23,Social Media Analytics,96.52
24,Customer Feedback Analyzer,72.78
25,School Management System,80.47
26,AI-based Exam Evaluator,64.21
27,Digital Quiz and Result Analyzer,64.71
28,Exam Result Prediction System,59.87
29,Smart Invigilation System,50.64
30,Automated Exam Management,63.84
31,E-Learning and Exam Platform,54.25
32,Library Automation System,75.84
33,Exam Result Prediction System,64.69
34,Sales Forecasting Tool,85.69
35,Smart Invigilation System,72.36
36,Restaurant Ordering System,93
37,Hospital Management System,83.76
38,Cloud-Based Test Management,50.67
39,E-Learning and Exam Platform,64.84
40,Social Media Analytics,83.29
41,Student Assessment Portal,57.14
42,Exam Scheduling and Proctoring System,96.37
43,Customer Feedback Analyzer,79.39
44,Online Examination System,91.17
45,Student Assessment Portal,73.2
46,Tourism Recommendation System,81.88
47,Exam Result Prediction System,97.44
48,E-Learning and Exam Platform,80.59
49,Student Assessment Portal,92.96
50,Healthcare Data Warehouse,70.03
51,Healthcare Data Warehouse,73.7
52,Data Visualization Platform,95.88
53,Employee Attendance Tracker,83.42
54,Smart Parking System,92.63
55,Human Resource Management,75.77
56,E-Learning and Exam Platform,94.2
57,Digital Quiz and Result Analyzer,62.91
58,Exam Result Prediction System,60.7
59,AI-based Exam Evaluator,50.14
60,School Management System,80.28
61,Data Visualization Platform,70.86
62,Tourism Recommendation System,66.05
63,Social Media Analytics,55.63
64,Tourism Recommendation System,57.38
65,Digital Quiz and Result Analyzer,69.99
66,Cloud-Based Test Management,59
67,Smart Parking System,94.27
68,Cloud-Based Test Management,88.78
69,Automated Exam Management,71.01
70,Sales Forecasting Tool,66.19
71,E-Learning and Exam Platform,59.6
72,Exam Scheduling and Proctoring System,96.86
73,School Management System,50.83
74,Student Assessment Portal,89.29
75,Cloud-Based Test Management,62.33
76,AI-based Exam Evaluator,72.82
77,Exam Result Prediction System,65.13
78,Online Examination System,85.61
79,E-Learning and Exam Platform,95.86
80,Automated Exam Management,78.14
81,Exam Result Prediction System,88.6
82,Online Examination System,90.39
83,Student Assessment Portal,96.18
84,E-Commerce Dashboard,88.45
85,Automated Exam Management,86.14
86,University Admission Portal,62.06
87,Cloud-Based Test Management,52.1
88,E-Commerce Dashboard,59.48
89,School Management System,69.96
90,Student Assessment Portal,64.79
91,Exam Scheduling and Proctoring System,56.08
92,Hospital Management System,50.47
93,Digital Quiz and Result Analyzer,60.68
94,Library Automation System,62.13
95,Automated Exam Management,83.78
96,IoT Smart Home Controller,67.4
97,Digital Quiz and Result Analyzer,86.64
98,Real Estate Analytics Dashboard,84.03
99,Employee Attendance Tracker,79.18
100,Hospital Management System,59.08
101,Cloud-Based Test Management,68.97
102,Exam Scheduling and Proctoring System,90.8
103,Human Resource Management,71.04
104,Smart Invigilation System,65.1
105,Hospital Management System,97.16
106,AI-based Exam Evaluator,61.23
107,Bank Loan Prediction System,58.73
108,Cloud-Based Test Management,66.07
109,Sales Forecasting Tool,65.06
110,E-Commerce Dashboard,95.14
111,Online Examination System,58.96
112,Tourism Recommendation System,59.49
113,AI-based Exam Evaluator,71.33
114,Automated Exam Management,61.18
115,Exam Scheduling and Proctoring System,83.98
116,Restaurant Ordering System,69.81
117,AI-based Exam Evaluator,55.14
118,Digital Quiz and Result Analyzer,80.55
119,Online Examination System,92.04
120,Inventory Management System,77.12
121,Exam Result Prediction System,57.44
122,Exam Result Prediction System,69.33
123,Human Resource Management,73.28
124,E-Learning and Exam Platform,96.03
125,Real Estate Analytics Dashboard,92.2
126,Automated Exam Management,89.14
127,Smart Invigilation System,56.81
