in_Name,in_StartDate,in_EndDate
1,10/1/1995,7/1/1996
2,10/1/1996,7/1/1997
3,10/1/1997,7/1/1998
4,10/1/1998,7/1/1999
5,10/1/1999,7/1/2000
6,10/1/2000,7/1/2001
7,10/1/2001,7/1/2002
8,10/1/2002,7/1/2003
9,10/1/2003,7/1/2004
10,10/1/2004,7/1/2005
11,10/1/2005,7/1/2006
12,10/1/2006,7/1/2007
13,10/1/2007,7/1/2008
14,10/1/2008,7/1/2009
15,10/1/2009,7/1/2010
16,10/1/2010,7/1/2011
17,10/1/2011,7/1/2012
18,10/1/2012,7/1/2013
19,10/1/2013,7/1/2014
20,10/1/2014,7/1/2015
21,10/1/2015,7/1/2016
22,10/1/2016,7/1/2017
23,10/1/2017,7/1/2018
24,10/1/2018,7/1/2019
25,10/1/2019,7/1/2020
26,10/1/2020,7/1/2021
27,10/1/2021,7/1/2022
28,10/1/2022,7/1/2023
29,10/1/2023,7/1/2024
30,10/1/2024,7/1/2025
31,10/1/2025,7/1/2026
