q_ID,q_Difficulty,q_Text,q_Type,q_Marks,q_CorrectAnswer,Cou_ID
1,Easy,What is a key learning outcome of Introduction to HTML?,MCQ,1,Basic introduction to html fundamentals,1
2,Medium,Who is the target audience for Introduction to HTML?,MCQ,1,Core HTML implementation,1
3,Hard,What certification can you earn from Introduction to HTML?,MCQ,1,Complete Introduction to HTML mastery,1
4,Easy,How many hours does Introduction to HTML typically take?,MCQ,1,Professional Introduction skills,1
5,Medium,What is the main objective of Introduction to HTML?,MCQ,1,Applied Introduction to HTML methods,1
6,Hard,What is the primary focus of Introduction to HTML?,MCQ,1,Complete Introduction to HTML mastery,1
7,Easy,Which framework is taught in Introduction to HTML?,MCQ,1,Basic introduction to html fundamentals,1
8,Medium,What rating does Introduction to HTML have?,MCQ,1,Introduction development strategies,1
9,Hard,Which of the following best describes Introduction to HTML?,MCQ,1,Essential Introduction training,1
10,Easy,What is the difficulty level of Introduction to HTML?,MCQ,1,Professional Introduction skills,1
11,Medium,What is the recommended duration for Introduction to HTML?,MCQ,1,Introduction development strategies,1
12,Hard,What makes Introduction to HTML unique?,MCQ,1,Complete Introduction to HTML mastery,1
13,Easy,Which industry uses skills from Introduction to HTML?,MCQ,1,Professional Introduction skills,1
14,Medium,What level is Introduction to HTML suitable for?,MCQ,1,Introduction development strategies,1
15,Hard,Which tool is commonly used in Introduction to HTML?,MCQ,1,Practical Introduction applications,1
16,Easy,Which technology is primarily covered in Introduction to HTML?,MCQ,1,Advanced HTML techniques,1
17,Medium,What prerequisite knowledge is helpful for Introduction to HTML?,MCQ,1,Core HTML implementation,1
18,Hard,Which concept is central to Introduction to HTML?,MCQ,1,Complete Introduction to HTML mastery,1
19,Easy,What skill will you gain from Introduction to HTML?,MCQ,1,Understanding Introduction concepts,1
20,Medium,What type of projects are included in Introduction to HTML?,MCQ,1,Mastering Introduction to HTML principles,1
21,Easy,Introduction to HTML focuses on theoretical concepts only.,True/False,1,TRUE,1
22,Medium,Introduction to HTML focuses on practical application over theory.,True/False,1,FALSE,1
23,Easy,Introduction to HTML can be completed in under 10 hours.,True/False,1,TRUE,1
24,Medium,Introduction to HTML is one of the most popular courses.,True/False,1,TRUE,1
25,Easy,Introduction to HTML is designed for professional developers.,True/False,1,FALSE,1
26,Medium,Introduction to HTML includes certification upon completion.,True/False,1,TRUE,1
27,Easy,Introduction to HTML includes practical hands-on projects.,True/False,1,TRUE,1
28,Medium,Introduction to HTML has a rating above 4.5 stars.,True/False,1,FALSE,1
29,Easy,Introduction to HTML includes real-world case studies.,True/False,1,FALSE,1
30,Medium,Introduction to HTML covers industry-standard practices.,True/False,1,TRUE,1
31,Easy,What prerequisite knowledge is helpful for CSS Fundamentals?,MCQ,1,Understanding CSS concepts,2
32,Medium,Who is the target audience for CSS Fundamentals?,MCQ,1,Mastering CSS Fundamentals principles,2
33,Hard,What makes CSS Fundamentals unique?,MCQ,1,Complete CSS Fundamentals mastery,2
34,Easy,What level is CSS Fundamentals suitable for?,MCQ,1,Professional CSS skills,2
35,Medium,What is a key learning outcome of CSS Fundamentals?,MCQ,1,Core Fundamentals implementation,2
36,Hard,Which concept is central to CSS Fundamentals?,MCQ,1,Practical CSS applications,2
37,Easy,Which tool is commonly used in CSS Fundamentals?,MCQ,1,Advanced Fundamentals techniques,2
38,Medium,Which technology is primarily covered in CSS Fundamentals?,MCQ,1,Mastering CSS Fundamentals principles,2
39,Hard,What is the primary focus of CSS Fundamentals?,MCQ,1,Complete CSS Fundamentals mastery,2
40,Easy,How many hours does CSS Fundamentals typically take?,MCQ,1,Basic css fundamentals fundamentals,2
41,Medium,What certification can you earn from CSS Fundamentals?,MCQ,1,CSS development strategies,2
42,Hard,Which framework is taught in CSS Fundamentals?,MCQ,1,Practical CSS applications,2
43,Easy,What is the difficulty level of CSS Fundamentals?,MCQ,1,Understanding CSS concepts,2
44,Medium,Which industry uses skills from CSS Fundamentals?,MCQ,1,Mastering CSS Fundamentals principles,2
45,Hard,What rating does CSS Fundamentals have?,MCQ,1,Industry-standard Fundamentals,2
46,Easy,Which of the following best describes CSS Fundamentals?,MCQ,1,Advanced Fundamentals techniques,2
47,Medium,What skill will you gain from CSS Fundamentals?,MCQ,1,Core Fundamentals implementation,2
48,Hard,What is the recommended duration for CSS Fundamentals?,MCQ,1,Industry-standard Fundamentals,2
49,Easy,What is the main objective of CSS Fundamentals?,MCQ,1,Professional CSS skills,2
50,Medium,What type of projects are included in CSS Fundamentals?,MCQ,1,Core Fundamentals implementation,2
51,Easy,CSS Fundamentals has a rating above 4.5 stars.,True/False,1,FALSE,2
52,Medium,CSS Fundamentals requires prior programming experience.,True/False,1,FALSE,2
53,Easy,CSS Fundamentals is suitable for absolute beginners.,True/False,1,TRUE,2
54,Medium,CSS Fundamentals requires more than 40 hours to complete.,True/False,1,FALSE,2
55,Easy,CSS Fundamentals is suitable for complete beginners.,True/False,1,TRUE,2
56,Medium,CSS Fundamentals includes real-world case studies.,True/False,1,FALSE,2
57,Easy,CSS Fundamentals is one of the most popular courses.,True/False,1,TRUE,2
58,Medium,CSS Fundamentals is designed for professional developers.,True/False,1,FALSE,2
59,Easy,CSS Fundamentals focuses on practical application over theory.,True/False,1,FALSE,2
60,Medium,CSS Fundamentals covers advanced topics in its field.,True/False,1,TRUE,2
61,Easy,Which concept is central to JavaScript Basics?,MCQ,1,Advanced Basics techniques,3
62,Medium,Who is the target audience for JavaScript Basics?,MCQ,1,Applied JavaScript Basics methods,3
63,Hard,What level is JavaScript Basics suitable for?,MCQ,1,Industry-standard Basics,3
64,Easy,Which industry uses skills from JavaScript Basics?,MCQ,1,Professional JavaScript skills,3
65,Medium,Which of the following best describes JavaScript Basics?,MCQ,1,JavaScript development strategies,3
66,Hard,Which technology is primarily covered in JavaScript Basics?,MCQ,1,Practical JavaScript applications,3
67,Easy,What is a key learning outcome of JavaScript Basics?,MCQ,1,Professional JavaScript skills,3
68,Medium,What is the primary focus of JavaScript Basics?,MCQ,1,JavaScript development strategies,3
69,Hard,What is the recommended duration for JavaScript Basics?,MCQ,1,Practical JavaScript applications,3
70,Easy,What rating does JavaScript Basics have?,MCQ,1,Professional JavaScript skills,3
71,Medium,How many hours does JavaScript Basics typically take?,MCQ,1,Core Basics implementation,3
72,Hard,What prerequisite knowledge is helpful for JavaScript Basics?,MCQ,1,Essential JavaScript training,3
73,Easy,What is the main objective of JavaScript Basics?,MCQ,1,Basic javascript basics fundamentals,3
74,Medium,Which tool is commonly used in JavaScript Basics?,MCQ,1,Applied JavaScript Basics methods,3
75,Hard,What skill will you gain from JavaScript Basics?,MCQ,1,Practical JavaScript applications,3
76,Easy,Which framework is taught in JavaScript Basics?,MCQ,1,Basic javascript basics fundamentals,3
77,Medium,What certification can you earn from JavaScript Basics?,MCQ,1,JavaScript development strategies,3
78,Hard,What is the difficulty level of JavaScript Basics?,MCQ,1,Practical JavaScript applications,3
79,Easy,What type of projects are included in JavaScript Basics?,MCQ,1,Professional JavaScript skills,3
80,Medium,What makes JavaScript Basics unique?,MCQ,1,Mastering JavaScript Basics principles,3
81,Easy,JavaScript Basics requires more than 40 hours to complete.,True/False,1,FALSE,3
82,Medium,JavaScript Basics covers industry-standard practices.,True/False,1,FALSE,3
83,Easy,JavaScript Basics includes practical hands-on projects.,True/False,1,TRUE,3
84,Medium,JavaScript Basics is one of the most popular courses.,True/False,1,FALSE,3
85,Easy,JavaScript Basics focuses on practical application over theory.,True/False,1,FALSE,3
86,Medium,JavaScript Basics covers advanced topics in its field.,True/False,1,FALSE,3
87,Easy,JavaScript Basics is suitable for absolute beginners.,True/False,1,FALSE,3
88,Medium,JavaScript Basics can be completed in under 10 hours.,True/False,1,FALSE,3
89,Easy,JavaScript Basics requires prior programming experience.,True/False,1,TRUE,3
90,Medium,JavaScript Basics is designed for professional developers.,True/False,1,TRUE,3
91,Easy,What is a key learning outcome of React Development?,MCQ,1,Advanced Development techniques,4
92,Medium,What rating does React Development have?,MCQ,1,Mastering React Development principles,4
93,Hard,What is the main objective of React Development?,MCQ,1,Industry-standard Development,4
94,Easy,Which framework is taught in React Development?,MCQ,1,Professional React skills,4
95,Medium,What certification can you earn from React Development?,MCQ,1,Core Development implementation,4
96,Hard,Which concept is central to React Development?,MCQ,1,Practical React applications,4
97,Easy,What type of projects are included in React Development?,MCQ,1,Understanding React concepts,4
98,Medium,What makes React Development unique?,MCQ,1,Mastering React Development principles,4
99,Hard,Which of the following best describes React Development?,MCQ,1,Essential React training,4
100,Easy,Who is the target audience for React Development?,MCQ,1,Advanced Development techniques,4
101,Medium,Which industry uses skills from React Development?,MCQ,1,Applied React Development methods,4
102,Hard,What is the difficulty level of React Development?,MCQ,1,Complete React Development mastery,4
103,Easy,How many hours does React Development typically take?,MCQ,1,Understanding React concepts,4
104,Medium,What is the primary focus of React Development?,MCQ,1,Mastering React Development principles,4
105,Hard,Which tool is commonly used in React Development?,MCQ,1,Practical React applications,4
106,Easy,What level is React Development suitable for?,MCQ,1,Advanced Development techniques,4
107,Medium,Which technology is primarily covered in React Development?,MCQ,1,Applied React Development methods,4
108,Hard,What is the recommended duration for React Development?,MCQ,1,Complete React Development mastery,4
109,Easy,What prerequisite knowledge is helpful for React Development?,MCQ,1,Professional React skills,4
110,Medium,What skill will you gain from React Development?,MCQ,1,Core Development implementation,4
111,Easy,React Development focuses on practical application over theory.,True/False,1,FALSE,4
112,Medium,React Development is suitable for complete beginners.,True/False,1,FALSE,4
113,Easy,React Development has a rating above 4.5 stars.,True/False,1,TRUE,4
114,Medium,React Development requires more than 40 hours to complete.,True/False,1,FALSE,4
115,Easy,React Development includes practical hands-on projects.,True/False,1,FALSE,4
116,Medium,React Development requires prior programming experience.,True/False,1,FALSE,4
117,Easy,React Development focuses on theoretical concepts only.,True/False,1,FALSE,4
118,Medium,React Development is one of the most popular courses.,True/False,1,FALSE,4
119,Easy,React Development covers advanced topics in its field.,True/False,1,FALSE,4
120,Medium,React Development includes real-world case studies.,True/False,1,TRUE,4
121,Easy,How many hours does Vue.js Essentials typically take?,MCQ,1,Understanding Vue.js concepts,5
122,Medium,What type of projects are included in Vue.js Essentials?,MCQ,1,Vue.js development strategies,5
123,Hard,What prerequisite knowledge is helpful for Vue.js Essentials?,MCQ,1,Complete Vue.js Essentials mastery,5
124,Easy,What certification can you earn from Vue.js Essentials?,MCQ,1,Basic vue.js essentials fundamentals,5
125,Medium,Which framework is taught in Vue.js Essentials?,MCQ,1,Applied Vue.js Essentials methods,5
126,Hard,What is the main objective of Vue.js Essentials?,MCQ,1,Complete Vue.js Essentials mastery,5
127,Easy,Which concept is central to Vue.js Essentials?,MCQ,1,Professional Vue.js skills,5
128,Medium,Which technology is primarily covered in Vue.js Essentials?,MCQ,1,Mastering Vue.js Essentials principles,5
129,Hard,What makes Vue.js Essentials unique?,MCQ,1,Complete Vue.js Essentials mastery,5
130,Easy,What is the difficulty level of Vue.js Essentials?,MCQ,1,Basic vue.js essentials fundamentals,5
131,Medium,What skill will you gain from Vue.js Essentials?,MCQ,1,Core Essentials implementation,5
132,Hard,Which industry uses skills from Vue.js Essentials?,MCQ,1,Complete Vue.js Essentials mastery,5
133,Easy,Which of the following best describes Vue.js Essentials?,MCQ,1,Advanced Essentials techniques,5
134,Medium,What rating does Vue.js Essentials have?,MCQ,1,Mastering Vue.js Essentials principles,5
135,Hard,What is a key learning outcome of Vue.js Essentials?,MCQ,1,Practical Vue.js applications,5
136,Easy,Which tool is commonly used in Vue.js Essentials?,MCQ,1,Understanding Vue.js concepts,5
137,Medium,What is the recommended duration for Vue.js Essentials?,MCQ,1,Applied Vue.js Essentials methods,5
138,Hard,What level is Vue.js Essentials suitable for?,MCQ,1,Essential Vue.js training,5
139,Easy,Who is the target audience for Vue.js Essentials?,MCQ,1,Understanding Vue.js concepts,5
140,Medium,What is the primary focus of Vue.js Essentials?,MCQ,1,Core Essentials implementation,5
141,Easy,Vue.js Essentials has a rating above 4.5 stars.,True/False,1,FALSE,5
142,Medium,Vue.js Essentials covers industry-standard practices.,True/False,1,FALSE,5
143,Easy,Vue.js Essentials includes real-world case studies.,True/False,1,TRUE,5
144,Medium,Vue.js Essentials is one of the most popular courses.,True/False,1,FALSE,5
145,Easy,Vue.js Essentials focuses on theoretical concepts only.,True/False,1,TRUE,5
146,Medium,Vue.js Essentials is suitable for absolute beginners.,True/False,1,FALSE,5
147,Easy,Vue.js Essentials is designed for professional developers.,True/False,1,TRUE,5
