ba_ID,ex_ID,BatchExamDate
1,564,4/30/1996
1,2982,3/25/1996
1,3414,5/20/1996
1,3419,10/24/1995
1,4608,12/15/1995
1,2939,11/23/1995
2,822,10/4/1995
2,848,1/5/1996
2,1450,3/3/1996
2,3711,10/14/1995
2,4348,1/23/1996
2,4869,3/7/1996
2,713,6/15/1996
2,4726,5/15/1996
2,3175,11/13/1995
2,904,11/1/1995
2,4076,2/2/1996
2,1308,3/29/1996
3,667,4/15/1996
3,1406,1/25/1996
3,2108,11/5/1995
3,2519,4/17/1996
3,2716,1/17/1996
3,1494,10/2/1995
3,2516,12/24/1995
3,101,6/5/1996
3,2819,4/27/1996
3,4673,3/3/1996
4,271,10/8/1995
4,417,4/28/1996
4,1920,1/2/1996
4,2343,5/19/1996
4,2370,10/29/1995
4,4673,2/7/1996
4,4015,3/11/1996
4,536,11/27/1995
5,97,6/28/1996
5,3086,12/31/1995
5,3329,4/14/1996
5,4508,10/4/1995
5,562,11/30/1995
5,4569,1/22/1996
5,3728,3/25/1996
5,2815,5/10/1996
5,2334,5/21/1996
5,3535,12/25/1995
5,2776,11/23/1995
5,3052,6/13/1996
6,2903,6/17/1996
6,3826,2/22/1996
6,3859,1/3/1996
6,4121,2/21/1996
7,894,10/29/1995
7,1476,6/21/1996
7,1955,4/5/1996
7,2295,3/29/1996
7,2461,2/4/1996
7,2697,6/12/1996
7,3120,11/18/1995
7,3154,12/26/1995
7,3462,5/14/1996
7,4054,3/10/1996
7,4741,11/15/1995
7,4132,12/24/1995
7,843,5/1/1996
7,4286,10/9/1995
7,586,2/15/1996
8,360,10/1/1995
8,867,2/13/1996
8,3025,3/16/1996
8,4595,2/9/1996
8,4838,6/11/1996
9,910,12/30/1995
9,1606,6/20/1996
9,1945,10/25/1995
9,2815,4/21/1996
9,3591,2/5/1996
9,310,6/12/1996
9,110,5/21/1996
9,4797,11/28/1995
9,3579,3/27/1996
9,2527,10/13/1995
10,299,5/13/1996
10,541,6/1/1996
10,571,10/16/1995
10,645,5/9/1996
10,781,5/25/1996
10,1315,12/18/1995
10,4141,5/24/1996
10,4343,4/18/1996
10,758,4/20/1996
10,2544,11/1/1995
10,1858,10/24/1995
11,3524,10/11/1995
11,4505,3/5/1996
11,825,6/24/1996
11,4183,3/14/1996
11,3049,5/27/1996
11,3481,5/30/1996
11,2478,3/30/1996
11,98,5/2/1996
11,2262,5/30/1996
11,1955,3/14/1996
11,908,10/25/1995
11,1318,12/15/1995
11,3762,4/6/1996
12,946,12/25/1995
12,1322,4/1/1996
12,1649,11/15/1995
12,3641,12/16/1995
12,4212,5/17/1996
12,4589,3/23/1996
12,2399,10/13/1995
12,826,10/29/1995
12,4458,10/31/1995
12,1952,5/20/1996
13,400,6/25/1996
13,450,5/13/1996
13,3404,3/15/1996
13,3917,10/9/1995
13,4809,4/26/1996
13,3056,12/5/1995
13,866,1/30/1996
13,703,6/4/1996
13,2086,1/26/1996
13,2635,4/22/1996
13,2419,1/4/1996
13,1058,1/1/1996
14,1491,1/2/1996
14,1659,2/20/1996
14,1702,1/20/1996
14,2169,10/30/1995
14,4076,5/20/1996
14,4120,2/21/1996
15,1511,3/31/1996
15,1563,10/7/1995
15,1640,12/29/1995
15,1802,3/7/1996
15,2109,3/31/1996
15,2231,12/14/1995
15,2323,4/22/1996
15,2871,12/4/1995
15,3280,3/27/1996
15,3838,6/16/1996
15,2494,4/29/1996
15,194,6/10/1996
15,3183,11/11/1995
15,1906,10/9/1995
16,2189,6/26/1996
16,3827,5/22/1996
16,4447,1/13/1996
16,1703,4/14/1996
16,3979,5/29/1996
16,3082,6/4/1996
16,4477,12/31/1995
16,4811,2/27/1996
16,3334,10/15/1995
17,638,12/24/1995
17,787,5/24/1996
17,1727,3/20/1996
17,1826,1/3/1996
17,2493,5/29/1996
17,2639,5/16/1996
17,2812,1/22/1996
17,2881,5/25/1996
17,3315,4/11/1996
17,3705,5/9/1996
17,1324,6/8/1996
17,2090,2/2/1996
17,2578,3/19/1996
18,1705,10/10/1995
18,2058,1/5/1996
18,3003,2/28/1996
18,4527,3/27/1996
18,4662,12/15/1995
18,1967,3/24/1996
18,1954,1/6/1996
18,1867,3/8/1996
18,1633,10/8/1995
18,521,1/19/1996
19,2183,1/4/1996
19,4805,5/27/1996
19,4546,4/13/1996
20,1098,4/30/1996
20,1163,6/3/1996
20,2044,4/23/1996
20,2263,12/30/1995
20,3098,11/24/1995
20,4768,6/8/1996
20,3253,1/2/1996
20,886,1/14/1996
20,121,1/12/1996
20,2896,3/9/1996
20,2291,2/13/1996
20,522,10/3/1995
21,189,2/11/1996
21,3150,12/26/1995
21,3237,12/13/1995
21,4573,5/7/1996
21,4747,12/24/1995
21,4798,5/2/1996
21,2365,3/9/1996
21,4814,10/1/1995
21,2993,1/5/1996
21,492,2/19/1996
21,2251,1/12/1996
22,637,6/23/1996
22,1497,1/23/1996
22,1972,11/28/1995
22,2333,5/26/1996
22,2583,3/4/1996
22,3016,6/6/1996
22,3486,11/6/1995
