cer_ID,cer_Name,cer_Duration,cer_Platform,st_ID
1,"Cloud Computing with AWS",20,"Khan Academy",17666
2,"Full Stack Web Development",15,"Skillshare",4024
3,"Ethereum Smart Contracts",7,"Google Developers",836
4,"Code Review Best Practices",11,"FreeCodeCamp",645
5,"Distributed Systems",8,"edX",2463
6,"E-commerce Solutions",5,"CompTIA",39
7,"Object-Oriented Programming",5,"AWS Training",14671
8,"Functional Programming",17,"Pluralsight",13769
9,"API Development and Integration",6,"Khan Academy",10566
10,"Refactoring Techniques",8,"Pluralsight",9141
11,"WebRTC Development",17,"Facebook Blueprint",6919
12,"Computer Vision",14,"DataCamp",17938
13,"Edge Computing",47,"Google Developers",170
14,"PyTorch Programming",43,"DataCamp",6734
15,"Web Development Fundamentals",44,"Coursera",7836
16,"Distributed Systems",44,"Udemy",6262
17,"High Availability Systems",13,"HubSpot Academy",7000
18,"Node.js Backend Development",11,"edX",16768
19,"CDN Configuration",11,"Codecademy",16072
20,"Deep Learning",11,"Skillshare",17164
21,"Web Application Security",6,"Skillshare",8385
22,"Git Version Control",35,"Salesforce Trailhead",9627
23,"Flask Development",4,"CompTIA",16934
24,"React Native Development",19,"DataCamp",14684
25,"Load Balancing",10,"AWS Training",1040
26,"C++ Programming",14,"DataCamp",10834
27,"Network Protocols",10,"AWS Training",16823
28,"Web3 Development",12,"Khan Academy",3496
29,"Artificial Intelligence Fundamentals",6,"Udemy",412
30,"Deep Learning",9,"Udacity",16081
31,"Business Intelligence",46,"FreeCodeCamp",12076
32,"5G Technology",9,"Codecademy",17311
33,"Swift Programming",9,"MIT OpenCourseWare",5983
34,"API Development and Integration",20,"Skillshare",17556
35,"PyTorch Programming",4,"AWS Training",10716
36,"Statistical Analysis",35,"edX",7276
37,"Big Data Analytics",19,"Coursera",14506
38,"Google Cloud Platform",3,"Udacity",11480
39,"Rust Programming",17,"Facebook Blueprint",15927
40,"Competitive Programming",43,"edX",12877
41,"Robotics Programming",10,"Coursera",19773
42,"Excel Data Analysis",31,"FreeCodeCamp",18364
43,"Kotlin Programming",8,"FreeCodeCamp",10768
44,"Functional Programming",6,"Udemy",3013
45,"Digital Marketing Analytics",11,"Udacity",2396
46,"Power BI Analytics",7,"Google Developers",2593
47,"CDN Configuration",15,"Codecademy",1706
48,"Performance Optimization",18,"CompTIA",2621
49,"Excel Data Analysis",15,"IBM Skills",5024
50,"Progressive Web Apps",42,"HubSpot Academy",13343
51,"TypeScript Programming",17,"edX",8308
52,"Cybersecurity Essentials",34,"Harvard Online",14289
53,"Computer Networks",4,"MIT OpenCourseWare",8089
54,"Unreal Engine",9,"Oracle Academy",11603
55,"Laravel Framework",19,"Udemy",14784
56,"Performance Optimization",13,"Facebook Blueprint",2803
57,"Laravel Framework",7,"HubSpot Academy",12462
58,"Rust Programming",19,"DataCamp",3217
59,"Augmented Reality",11,"Cisco Networking Academy",4993
60,"Big Data Analytics",19,"DataCamp",16634
61,"Puppet Configuration",21,"LinkedIn Learning",16254
62,"Deep Learning",13,"Coursera",1764
63,"Refactoring Techniques",20,"IBM Skills",17968
64,"iOS Development",19,"IBM Skills",13627
65,"Clean Code Principles",17,"DataCamp",5618
66,"UI/UX Design Principles",7,"Pluralsight",19495
67,"3D Modeling and Animation",21,"Google Analytics Academy",14912
68,"High Availability Systems",12,"CompTIA",16333
69,"Incident Response",19,"Skillshare",11795
70,"Android Development",15,"DataCamp",12971
71,"Azure Cloud Services",40,"MIT OpenCourseWare",14180
72,"Blockchain Development",5,"Google Analytics Academy",16973
73,"MySQL Administration",11,"Udemy",19143
74,"Google Analytics",19,"Skillshare",8562
75,"Vue.js Framework",31,"AWS Training",18
76,"Data Structures and Algorithms",11,"Cisco Networking Academy",5232
77,"Socket Programming",20,"Oracle Academy",15562
78,"Competitive Programming",11,"DataCamp",2103
79,"Spring Boot",12,"Facebook Blueprint",2790
80,"Flutter Cross-Platform",12,"AWS Training",11017
81,"Distributed Systems",42,"Codecademy",9871
82,"Digital Marketing Analytics",16,"Udacity",15548
83,"Software Architecture",19,"Stanford Online",15969
84,"Blockchain Development",19,"AWS Training",4303
85,"TCP/IP Networking",15,"Harvard Online",19763
86,"Data Science with Python",4,"IBM Skills",5524
87,"Apache Kafka Streaming",45,"edX",17355
88,"Data Science with Python",50,"Udacity",10611
89,"Software Architecture",6,"Stanford Online",12304
90,"SIEM Solutions",20,"FreeCodeCamp",9407
91,"Web Application Security",14,"AWS Training",16040
