ex_ID,ex_Date,ex_Type,ex_DurationMin,ex_TotalMarks,ex_PassGrade,cou_ID
1,6/4/2009,Project Based,30,50,30,309
2,1/14/1997,Multi Choice,30,100,60,204
3,6/3/2026,Written,30,120,72,247
4,3/30/2016,Multi Choice,90,100,60,101
5,11/20/1996,Written,20,50,30,143
6,1/2/2002,Multi Choice,120,10,6,255
7,6/10/2007,Multi Choice,180,50,30,286
8,3/30/2004,Written,120,30,18,314
9,10/16/1997,Multi Choice,60,30,18,116
10,2/19/2008,Written,90,50,30,90
11,3/20/2013,Project Based,30,100,60,247
12,1/11/2000,Project Based,20,10,6,299
13,1/13/2004,Project Based,180,10,6,68
14,1/8/2001,Written,180,50,30,240
15,5/7/2002,Written,30,100,60,165
16,10/29/2003,Multi Choice,60,100,60,229
17,5/5/2010,Written,120,10,6,209
18,3/7/2000,Project Based,120,10,6,81
19,6/19/2016,Written,40,30,18,149
20,12/26/2000,Multi Choice,40,100,60,75
21,1/29/2015,Written,20,10,6,333
22,1/14/2003,Multi Choice,30,50,30,74
23,6/1/2026,Multi Choice,90,50,30,311
24,10/2/2009,Written,30,50,30,62
25,5/3/2004,Project Based,180,120,72,180
26,2/13/2013,Project Based,90,10,6,158
27,10/13/2007,Written,120,100,60,106
28,6/25/2001,Project Based,60,50,30,219
29,11/2/2013,Project Based,20,100,60,56
30,5/4/2014,Multi Choice,60,120,72,260
31,2/7/2009,Multi Choice,60,50,30,129
32,2/28/2013,Project Based,30,30,18,150
33,1/2/2019,Multi Choice,180,100,60,244
34,10/23/2019,Written,90,100,60,332
35,4/24/2008,Multi Choice,30,120,72,191
36,5/30/2022,Multi Choice,30,100,60,51
37,5/10/2009,Written,90,10,6,154
38,4/25/2009,Multi Choice,40,50,30,263
39,4/13/1997,Project Based,20,30,18,103
40,10/21/2016,Written,40,50,30,283
41,5/30/2009,Written,120,100,60,174
42,1/24/1999,Multi Choice,90,100,60,38
43,11/27/2003,Written,60,100,60,45
44,4/6/2009,Written,180,100,60,155
45,5/2/2011,Project Based,20,120,72,239
46,2/20/2024,Written,90,30,18,270
47,12/18/2005,Project Based,30,100,60,73
48,3/14/2003,Written,60,100,60,125
49,10/23/2014,Written,60,120,72,268
50,5/18/1998,Written,120,120,72,80
51,10/1/1997,Project Based,60,10,6,62
52,4/10/2007,Multi Choice,60,50,30,227
53,2/17/2004,Multi Choice,20,10,6,49
54,11/16/2008,Written,90,100,60,179
55,4/12/2000,Project Based,20,120,72,294
56,5/31/2020,Project Based,30,50,30,101
57,11/13/1999,Project Based,40,30,18,30
58,5/29/2005,Written,60,30,18,264
59,1/7/2000,Project Based,40,50,30,95
60,2/24/2008,Project Based,180,100,60,17
61,6/17/2011,Multi Choice,20,50,30,61
62,12/11/2005,Multi Choice,60,100,60,27
63,10/25/2010,Project Based,20,10,6,116
64,2/19/2024,Project Based,30,30,18,342
65,12/28/1999,Multi Choice,180,100,60,268
66,4/6/2025,Written,90,10,6,172
67,1/10/2014,Multi Choice,120,30,18,252
68,6/7/2007,Written,20,50,30,216
69,10/3/2017,Multi Choice,40,10,6,119
70,3/6/2007,Written,40,50,30,179
71,12/12/2016,Multi Choice,20,10,6,307
72,5/15/2005,Multi Choice,60,30,18,248
73,6/14/2000,Project Based,120,50,30,225
74,5/11/1999,Multi Choice,120,10,6,227
75,4/23/1998,Project Based,40,100,60,180
76,10/28/1998,Multi Choice,60,30,18,122
77,1/26/2008,Project Based,180,50,30,202
78,2/27/2005,Project Based,30,50,30,185
79,10/16/2011,Written,60,10,6,3
80,4/17/2010,Written,60,10,6,248
81,10/10/2000,Project Based,120,30,18,98
82,7/1/2020,Multi Choice,30,50,30,271
83,1/3/2002,Project Based,120,50,30,332
84,1/3/1996,Written,60,30,18,106
85,4/16/1999,Written,180,30,18,214
86,5/6/2002,Written,30,10,6,83
