ex_ID,q_ID
1,9268
1,9256
1,9264
1,9258
1,9249
1,9250
1,9269
1,9265
1,9253
1,9241
2,6091
2,6096
2,6111
2,6117
2,6104
2,6098
2,6112
2,6101
2,6103
2,6120
3,7385
3,7406
3,7391
3,7381
3,7389
3,7401
3,7410
3,7407
3,7396
3,7409
4,3004
4,3002
4,3005
4,3006
4,3017
4,3027
4,3010
4,3014
4,3025
4,3003
5,4287
5,4264
5,4277
5,4289
5,4270
5,4281
5,4283
5,4275
5,4273
5,4278
6,7648
6,7637
6,7623
6,7640
6,7644
6,7625
6,7627
6,7645
6,7630
6,7646
7,8577
7,8555
7,8571
7,8553
7,8558
7,8566
7,8551
7,8568
7,8572
7,8559
8,9419
8,9400
8,9412
8,9405
8,9397
8,9393
8,9417
8,9415
8,9394
8,9403
9,3473
9,3474
9,3475
9,3455
9,3458
9,3457
9,3464
9,3459
9,3465
9,3451
10,2700
10,2675
10,2691
10,2692
10,2682
10,2695
10,2684
10,2683
10,2680
10,2687
11,7399
11,7391
11,7404
11,7387
11,7407
11,7394
11,7393
11,7390
11,7403
11,7401
12,8958
12,8957
12,8949
12,8945
12,8946
12,8953
12,8954
12,8959
12,8964
12,8966
13,2017
13,2032
13,2012
13,2023
13,2027
13,2016
13,2033
13,2037
13,2036
13,2020
14,7179
14,7180
14,7193
14,7188
14,7174
14,7196
14,7181
14,7175
14,7172
14,7195
15,4938
15,4940
15,4922
15,4930
15,4942
15,4931
15,4927
15,4950
15,4935
15,4946
16,6853
16,6865
16,6869
16,6863
16,6844
16,6845
16,6856
16,6859
16,6867
16,6852
17,6249
17,6265
17,6267
17,6260
17,6266
17,6258
17,6264
17,6248
17,6246
17,6268
18,2422
18,2430
18,2424
18,2416
18,2429
18,2417
18,2405
18,2408
18,2401
18,2403
19,4454
19,4467
19,4466
19,4465
19,4453
19,4452
19,4443
19,4442
19,4446
19,4463
20,2249
20,2236
20,2224
20,2223
20,2247
20,2231
20,2233
20,2240
20,2227
20,2238
21,9981
21,9982
21,9967
21,9965
21,9980
21,9979
21,9975
21,9986
21,9990
21,9964
22,2199
22,2205
22,2201
22,2196
22,2219
22,2212
22,2220
22,2198
22,2218
22,2216
23,9307
23,9326
23,9306
23,9304
23,9313
23,9314
23,9309
23,9330
23,9316
23,9302
24,1845
24,1850
24,1844
24,1847
24,1846
24,1836
24,1855
24,1842
24,1858
24,1852
25,5380
25,5378
25,5371
25,5392
25,5376
25,5375
25,5381
25,5372
25,5384
25,5388
26,4731
26,4715
26,4735
26,4719
26,4712
26,4740
26,4738
26,4734
26,4725
26,4723
27,3167
27,3179
27,3154
27,3166
27,3177
27,3171
27,3175
27,3178
27,3152
27,3169
28,6566
28,6549
28,6563
28,6568
28,6570
